[2022-06-23 08:08:06,532][run.py][line:117][INFO] start training on GPU 0!
[2022-06-23 08:08:06,532][run.py][line:118][INFO] Namespace(bert_model_dir='', bert_tokenizer_dir='', bert_dim=1024, hidden_dim=300, gnn_hidden_dim=300, code_dim=192, feat_dim=1024, mlp_layers=2, gnn_layers=1, emb_dim=1024, iemocaptest=True, attn_type='rgcn', no_rel_attn=False, max_sent_len=200, no_cuda=False, dataset_name='DailyDialog', windowp=3, windowf=0, withvae=True, max_grad_norm=5.0, lr=8e-06, dropout=0.8, batch_size=8, epochs=100, tensorboard=False, nodal_att_type=None, cuda=True)
[2022-06-23 08:09:03,528][run.py][line:158][INFO] Epoch: 1, train_loss: 0.4972, train_acc: 85.76, train_micro_fscore: 40.05, train_macro_fscore: 20.85, valid_loss: 0.3663, valid_acc: 90.61, valid_micro_fscore: 55.96, valid_macro_fscore: 23.03, test_loss: 1.8969, test_acc: 18.68, test_micro_fscore: 4.64, test_macro_fscore: 11.42, time: 31.15 sec
[2022-06-23 08:10:07,261][run.py][line:158][INFO] Epoch: 2, train_loss: 0.2305, train_acc: 92.93, train_micro_fscore: 74.59, train_macro_fscore: 31.12, valid_loss: 0.3386, valid_acc: 90.64, valid_micro_fscore: 56.41, valid_macro_fscore: 27.96, test_loss: 1.8688, test_acc: 18.25, test_micro_fscore: 5.38, test_macro_fscore: 8.1, time: 63.73 sec
[2022-06-23 08:10:43,733][run.py][line:158][INFO] Epoch: 3, train_loss: 0.2117, train_acc: 93.48, train_micro_fscore: 75.86, train_macro_fscore: 33.62, valid_loss: 0.3345, valid_acc: 90.17, valid_micro_fscore: 55.87, valid_macro_fscore: 28.02, test_loss: 1.8324, test_acc: 18.19, test_micro_fscore: 5.52, test_macro_fscore: 8.43, time: 36.47 sec
[2022-06-23 08:11:14,074][run.py][line:158][INFO] Epoch: 4, train_loss: 0.2051, train_acc: 93.51, train_micro_fscore: 75.91, train_macro_fscore: 33.82, valid_loss: 0.3198, valid_acc: 90.32, valid_micro_fscore: 56.11, valid_macro_fscore: 28.23, test_loss: 1.8092, test_acc: 18.13, test_micro_fscore: 5.1, test_macro_fscore: 8.52, time: 30.34 sec
[2022-06-23 08:11:44,903][run.py][line:158][INFO] Epoch: 5, train_loss: 0.199, train_acc: 93.66, train_micro_fscore: 76.42, train_macro_fscore: 34.29, valid_loss: 0.3396, valid_acc: 90.58, valid_micro_fscore: 56.72, valid_macro_fscore: 28.53, test_loss: 1.8039, test_acc: 18.25, test_micro_fscore: 5.0, test_macro_fscore: 8.47, time: 30.83 sec
[2022-06-23 08:12:28,322][run.py][line:158][INFO] Epoch: 6, train_loss: 0.1949, train_acc: 93.68, train_micro_fscore: 76.65, train_macro_fscore: 34.52, valid_loss: 0.3151, valid_acc: 90.68, valid_micro_fscore: 56.66, valid_macro_fscore: 28.62, test_loss: 1.7913, test_acc: 18.31, test_micro_fscore: 3.42, test_macro_fscore: 11.11, time: 43.42 sec
[2022-06-23 08:13:34,684][run.py][line:158][INFO] Epoch: 7, train_loss: 0.1906, train_acc: 93.77, train_micro_fscore: 77.1, train_macro_fscore: 34.96, valid_loss: 0.3209, valid_acc: 90.88, valid_micro_fscore: 56.27, valid_macro_fscore: 28.61, test_loss: 1.7937, test_acc: 18.37, test_micro_fscore: 3.12, test_macro_fscore: 11.93, time: 66.36 sec
[2022-06-23 08:14:23,808][run.py][line:158][INFO] Epoch: 8, train_loss: 0.1851, train_acc: 93.82, train_micro_fscore: 77.46, train_macro_fscore: 35.76, valid_loss: 0.3134, valid_acc: 90.54, valid_micro_fscore: 57.08, valid_macro_fscore: 28.92, test_loss: 1.7913, test_acc: 17.82, test_micro_fscore: 3.69, test_macro_fscore: 12.13, time: 49.12 sec
[2022-06-23 08:15:03,120][run.py][line:158][INFO] Epoch: 9, train_loss: 0.1817, train_acc: 93.94, train_micro_fscore: 78.07, train_macro_fscore: 37.4, valid_loss: 0.3204, valid_acc: 90.53, valid_micro_fscore: 57.01, valid_macro_fscore: 28.91, test_loss: 1.803, test_acc: 17.94, test_micro_fscore: 4.02, test_macro_fscore: 12.13, time: 39.31 sec
[2022-06-23 08:16:09,413][run.py][line:158][INFO] Epoch: 10, train_loss: 0.1774, train_acc: 94.06, train_micro_fscore: 78.88, train_macro_fscore: 42.25, valid_loss: 0.3039, valid_acc: 91.11, valid_micro_fscore: 59.22, valid_macro_fscore: 38.19, test_loss: 1.7945, test_acc: 18.87, test_micro_fscore: 4.2, test_macro_fscore: 11.88, time: 66.29 sec
[2022-06-23 08:17:02,896][run.py][line:158][INFO] Epoch: 11, train_loss: 0.172, train_acc: 94.56, train_micro_fscore: 81.2, train_macro_fscore: 50.26, valid_loss: 0.3009, valid_acc: 91.18, valid_micro_fscore: 60.69, valid_macro_fscore: 42.02, test_loss: 1.7619, test_acc: 24.97, test_micro_fscore: 12.23, test_macro_fscore: 15.1, time: 53.48 sec
